sample_ID	sample_type	aDC	Adipocytes	Astrocytes	B.cells	Basophils	CD4..memory.T.cells	CD4..naive.T.cells	CD4..T.cells	CD4..Tcm	CD4..Tem	CD8..naive.T.cells	CD8..T.cells	CD8..Tcm	CD8..Tem	cDC	Chondrocytes	Class.switched.memory.B.cells	CLP	CMP	DC	Endothelial.cells	Eosinophils	Epithelial.cells	Erythrocytes	Fibroblasts	GMP	Hepatocytes	HSC	iDC	Keratinocytes	ly.Endothelial.cells	Macrophages	Macrophages.M1	Macrophages.M2	Mast.cells	Megakaryocytes	Melanocytes	Memory.B.cells	MEP	Mesangial.cells	Monocytes	MPP	MSC	mv.Endothelial.cells	Myocytes	naive.B.cells	Neurons	Neutrophils	NK.cells	NKT	Osteoblast	pDC	Pericytes	Plasma.cells	Platelets	Preadipocytes	pro.B.cells	Sebocytes	Skeletal.muscle	Smooth.muscle	Tgd.cells	Th1.cells	Th2.cells	Tregs
TCGA-3Z-A93Z	01A	0.114	0.033	0.0648	-6.46e-18	0.067	0.0904	0.0439	9.29e-18	3.35e-18	-1.38e-19	0.00432	5.19e-20	3.52e-18	-7.38e-19	0.0179	0.0732	1.53e-17	0.0513	-3.83e-18	0.027	0.624	0.0289	0.175	-1.7e-20	0.107	8.15e-18	0.2	0.543	0.0622	0.00125	1.12	0.0562	0.0349	0.0338	0.0119	0.00682	0.0088	4.77e-18	0.0541	0.135	0.0028	9.92e-19	0.0248	0.226	0.00915	-1.03e-18	0.0129	0	6.39e-18	0.0175	0.224	0.012	0.141	0.00197	7.06e-18	-1.82e-17	-3.39e-18	0.0154	1.85e-20	0.432	-4.11e-18	0.0658	4.98e-18	5.81e-19
TCGA-3Z-A93Z	10A	0.114	0.033	0.0648	-6.46e-18	0.067	0.0904	0.0439	9.29e-18	3.35e-18	-1.38e-19	0.00432	5.19e-20	3.52e-18	-7.38e-19	0.0179	0.0732	1.53e-17	0.0513	-3.83e-18	0.027	0.624	0.0289	0.175	-1.7e-20	0.107	8.15e-18	0.2	0.543	0.0622	0.00125	1.12	0.0562	0.0349	0.0338	0.0119	0.00682	0.0088	4.77e-18	0.0541	0.135	0.0028	9.92e-19	0.0248	0.226	0.00915	-1.03e-18	0.0129	0	6.39e-18	0.0175	0.224	0.012	0.141	0.00197	7.06e-18	-1.82e-17	-3.39e-18	0.0154	1.85e-20	0.432	-4.11e-18	0.0658	4.98e-18	5.81e-19
TCGA-6D-AA2E	01A	0.0202	0.15	-9.12e-19	0.0199	0.0325	0.11	0.0318	0.00146	-6.45e-20	0.0145	0.01	0.0277	0.00666	0.00615	0.0183	0.0498	2.58e-19	0.034	1.82e-19	0.0416	0.157	0.0132	0.118	0	0.0683	1.43e-19	0.319	0.237	0.0884	5.51e-18	0.224	0.114	0.0468	0.139	0.0315	0.00769	0.06	1.28e-18	0.0809	0.0824	-3.5e-19	-2.46e-20	0.0656	0.0593	0.0321	1.13e-18	0.0117	3.32e-19	-2.99e-20	0.00183	0.211	0.0698	0.0568	0.0173	1.05e-19	-9.45e-19	8.12e-20	0.0449	-3.54e-19	0.48	-7.23e-19	0.0476	-1.15e-18	0.0421
TCGA-6D-AA2E	10A	0.0202	0.15	-9.12e-19	0.0199	0.0325	0.11	0.0318	0.00146	-6.45e-20	0.0145	0.01	0.0277	0.00666	0.00615	0.0183	0.0498	2.58e-19	0.034	1.82e-19	0.0416	0.157	0.0132	0.118	0	0.0683	1.43e-19	0.319	0.237	0.0884	5.51e-18	0.224	0.114	0.0468	0.139	0.0315	0.00769	0.06	1.28e-18	0.0809	0.0824	-3.5e-19	-2.46e-20	0.0656	0.0593	0.0321	1.13e-18	0.0117	3.32e-19	-2.99e-20	0.00183	0.211	0.0698	0.0568	0.0173	1.05e-19	-9.45e-19	8.12e-20	0.0449	-3.54e-19	0.48	-7.23e-19	0.0476	-1.15e-18	0.0421
TCGA-A3-3306	01A	0.0637	0.0645	-1e-18	0.0357	0.0495	0.214	0.0453	3.67e-20	1.46e-19	0.00167	0.000645	0.0232	0.0175	-1.08e-18	0.0423	-2.03e-18	-3.5e-19	0.0515	1.18e-18	0.0375	0.297	0.0128	0.101	-8.61e-20	0.00277	5.37e-18	0.161	0.254	0.0216	0	0.315	0.0746	0.0426	0.0442	0.0491	0.00526	0.00499	7.32e-18	0.0538	0.063	0.0451	4.3e-19	0.0327	0.0801	0.00885	2.84e-18	0.00925	0.00638	0.00439	0.0241	0.205	0.0585	-7.61e-19	0.0229	6.51e-19	-1.36e-17	7.36e-18	0.0104	-1.12e-19	0.6	7.71e-18	0.0415	2.02e-20	0.0333
TCGA-A3-3306	11A	0.0637	0.0645	-1e-18	0.0357	0.0495	0.214	0.0453	3.67e-20	1.46e-19	0.00167	0.000645	0.0232	0.0175	-1.08e-18	0.0423	-2.03e-18	-3.5e-19	0.0515	1.18e-18	0.0375	0.297	0.0128	0.101	-8.61e-20	0.00277	5.37e-18	0.161	0.254	0.0216	0	0.315	0.0746	0.0426	0.0442	0.0491	0.00526	0.00499	7.32e-18	0.0538	0.063	0.0451	4.3e-19	0.0327	0.0801	0.00885	2.84e-18	0.00925	0.00638	0.00439	0.0241	0.205	0.0585	-7.61e-19	0.0229	6.51e-19	-1.36e-17	7.36e-18	0.0104	-1.12e-19	0.6	7.71e-18	0.0415	2.02e-20	0.0333
TCGA-A3-3307	01A	0.116	0.0181	1.81e-19	0.00813	0.121	0.184	0.0781	-3.05e-18	-1.47e-18	-2.43e-18	0.00511	0.0445	0.0226	-7.32e-19	0.0182	0.0212	1.34e-17	0.0252	-5.99e-18	0.0391	0.534	0.014	0.0631	-3.56e-19	0.0147	-1.5e-17	0.231	0.369	0.0516	3.07e-19	0.795	0.0854	0.0534	0.0527	0.0556	0.00887	0.00114	-1.97e-17	0.0203	0.107	0.0915	5.32e-19	-2.35e-19	0.136	0.0166	-1.51e-19	0.0171	0.0118	1.89e-18	0.00253	0.15	0.0752	0.00166	0.0122	-2.3e-18	-1.1e-17	-3.71e-17	0.00658	-7.81e-20	0.504	6.77e-18	0.0267	3.75e-18	0
TCGA-A3-3307	11A	0.116	0.0181	1.81e-19	0.00813	0.121	0.184	0.0781	-3.05e-18	-1.47e-18	-2.43e-18	0.00511	0.0445	0.0226	-7.32e-19	0.0182	0.0212	1.34e-17	0.0252	-5.99e-18	0.0391	0.534	0.014	0.0631	-3.56e-19	0.0147	-1.5e-17	0.231	0.369	0.0516	3.07e-19	0.795	0.0854	0.0534	0.0527	0.0556	0.00887	0.00114	-1.97e-17	0.0203	0.107	0.0915	5.32e-19	-2.35e-19	0.136	0.0166	-1.51e-19	0.0171	0.0118	1.89e-18	0.00253	0.15	0.0752	0.00166	0.0122	-2.3e-18	-1.1e-17	-3.71e-17	0.00658	-7.81e-20	0.504	6.77e-18	0.0267	3.75e-18	0
TCGA-A3-3308	01A	0.118	0.0734	0.154	-1.17e-18	0.0581	0.0872	0.148	3.02e-19	3.38e-18	8.58e-18	-6.51e-21	0.00939	1.13e-18	-1.74e-19	0.027	0.13	1.24e-17	0.00955	-4.01e-20	0.0433	0.559	0.022	0.0403	5.67e-19	0.0867	6.34e-18	0.176	0.45	0.0983	0	0.764	0.0667	0.0511	0.0485	0.0398	0.0178	0.0133	-1.35e-17	0.0313	0.128	0.0356	7.65e-19	0.0521	0.169	0.0189	-2.96e-18	0.019	0.000231	-1.11e-17	0.0138	0.119	0.00952	0.0437	0.00133	-1.55e-18	4.87e-18	1.33e-17	0.00221	0.00382	0.388	5.1e-18	0.0249	5.95e-18	3.12e-19
TCGA-A3-3308	11A	0.118	0.0734	0.154	-1.17e-18	0.0581	0.0872	0.148	3.02e-19	3.38e-18	8.58e-18	-6.51e-21	0.00939	1.13e-18	-1.74e-19	0.027	0.13	1.24e-17	0.00955	-4.01e-20	0.0433	0.559	0.022	0.0403	5.67e-19	0.0867	6.34e-18	0.176	0.45	0.0983	0	0.764	0.0667	0.0511	0.0485	0.0398	0.0178	0.0133	-1.35e-17	0.0313	0.128	0.0356	7.65e-19	0.0521	0.169	0.0189	-2.96e-18	0.019	0.000231	-1.11e-17	0.0138	0.119	0.00952	0.0437	0.00133	-1.55e-18	4.87e-18	1.33e-17	0.00221	0.00382	0.388	5.1e-18	0.0249	5.95e-18	3.12e-19
